date,open,high,low,close,volume,amount
2025-08-22,109.01,109.59,108.59,109.54,16853683,1841919206.65
2025-08-25,109.6,110.18,108.89,110.09,17662565,1934044361.78
2025-08-26,110.07,110.09,109.48,109.62,11312968,1240850445.94
2025-08-27,109.82,110.2,108.75,108.8,14911249,1633889578.32
2025-08-28,109.0,109.29,108.3,108.97,13084132,1423028523.02
2025-08-29,109.0,109.99,108.66,109.5,16291507,1782968817.44
2025-09-01,107.46,107.5,106.6,106.99,12262839,1312560939.6
2025-09-02,106.99,108.09,106.51,107.9,19299955,2075678542.56
2025-09-03,108.0,108.0,107.0,107.39,11563298,1240919187.49
2025-09-04,107.19,107.19,105.5,106.75,15538442,1650199426.14
2025-09-05,106.49,106.7,105.8,106.54,10397389,1104408945.92
2025-09-08,106.54,108.39,106.03,108.11,18630006,2004429291.03
2025-09-09,108.0,108.25,106.84,107.0,10339630.0,1110327716.51
2025-09-10,107.06,109.0,106.75,108.47,14645917,1585541448.61
2025-09-11,108.26,108.47,107.54,108.3,12923702,1394222673.36
2025-09-12,108.19,108.51,107.53,107.75,10187073,1099724662.99
2025-09-15,108.9,108.9,107.03,107.39,9696810.0,1043309011.66
2025-09-16,107.22,107.61,106.97,107.0,8777033.0,940163347.87
2025-09-17,107.0,107.28,106.51,106.74,9440195.0,1008155952.42
2025-09-18,106.69,106.69,104.84,104.94,20277464,2141134194.38
2025-09-19,104.98,105.5,104.9,105.44,8809440.0,926981149.09
2025-09-22,105.42,105.68,104.85,104.98,10777918,1132266268.6
2025-09-23,104.8,106.21,104.5,106.17,12393648,1307763019.8
2025-09-24,105.98,106.66,105.7,106.52,10392582,1105267919.67
2025-09-25,106.41,106.66,105.68,106.0,6912154.0,732391522.8
2025-09-26,106.08,106.15,105.05,105.8,7175135.0,757367362.34
2025-09-29,105.6,105.79,104.31,105.28,12187328,1278762392.87
2025-09-30,105.12,105.15,104.51,104.68,8351865.0,874429638.73
2025-10-09,104.16,105.68,103.8,105.44,13628543,1425919332.06
2025-10-10,105.02,106.99,104.8,106.59,17256703,1831903260.52
2025-10-13,106.2,107.44,105.68,106.95,13797859,1472093655.17
2025-10-14,106.85,107.9,106.2,107.6,16171982,1736920010.91
2025-10-15,107.21,107.91,106.68,107.12,8423201.0,902263938.6
2025-10-16,107.13,107.9,106.81,107.81,8057246.0,866721428.08
2025-10-17,107.61,108.36,107.47,107.93,12273683,1325774638.8
2025-10-20,107.62,107.92,106.81,107.78,8099093.0,870007156.77
2025-10-21,107.11,107.47,105.71,106.12,20182621,2143105933.3
2025-10-22,105.8,106.48,105.76,106.2,8667782.0,919928488.87
2025-10-23,106.0,106.86,106.0,106.69,8097865.0,862813852.37
2025-10-24,106.7,107.3,106.59,106.87,7856287.0,840256584.18
2025-10-27,106.71,107.7,106.39,106.7,10928762,1169579047.1
2025-10-28,106.85,107.04,106.46,106.66,6117102.0,652713495.25
2025-10-29,106.61,106.69,105.9,105.97,9048647.0,960170766.29
2025-10-30,106.09,107.16,105.92,106.44,10734685,1144134578.35
2025-10-31,106.45,106.68,105.12,105.79,14302488,1510888733.99
2025-11-03,105.7,106.75,105.5,106.62,10907747,1159953921.03
2025-11-04,106.63,107.99,106.3,107.66,15043690.0,1615723974.59
2025-11-05,107.55,108.05,107.05,107.2,6530711.0,701138001.39
2025-11-06,107.21,107.57,106.71,107.18,6053456.0,648842605.49
2025-11-07,107.0,107.77,107.0,107.55,5458728.0,586578619.67
2025-11-10,107.3,107.84,106.88,107.74,6809831.0,732056797.28
2025-11-11,107.86,108.0,107.44,107.8,6841780.0,737474341.41
2025-11-12,107.9,108.98,107.9,108.59,13108523,1422658373.64
2025-11-13,108.58,108.93,106.75,107.33,14354310.0,1541230164.66
2025-11-14,107.34,108.0,107.16,107.21,8539179.0,919245570.61
2025-11-17,107.05,107.21,106.15,106.64,9238290.0,983555148.75
2025-11-18,106.53,107.88,106.31,107.81,11445976,1228217880.09
2025-11-19,107.79,108.13,107.47,107.89,7711138.0,831885678.1
2025-11-20,107.61,109.28,107.61,108.69,14338886,1558306426.29
2025-11-21,108.48,109.37,108.06,108.48,15022126,1634006383.09
2025-11-24,108.48,109.2,107.5,108.72,13552723,1468071310.22
2025-11-25,108.65,108.83,107.7,108.66,9464490.0,1024266059.84
2025-11-26,108.6,109.61,108.32,108.97,9803188.0,1068003340.16
2025-11-27,108.58,108.79,107.82,108.25,8538225.0,923580308.54
2025-11-28,108.04,108.4,107.61,107.7,7961801.0,859178696.79
2025-12-01,106.7,107.33,106.51,107.05,17623312,1882464440.67
2025-12-02,106.87,107.6,106.78,107.35,10478681,1124172307.93
2025-12-03,107.35,107.65,106.52,106.64,10364736,1107982393.93
2025-12-04,106.68,106.94,105.92,106.11,11753906,1248611438.18
2025-12-05,106.2,106.33,105.05,105.47,14601246,1539924441.48
2025-12-08,105.47,105.6,104.42,104.51,19437391,2037723420.17
2025-12-09,104.49,105.0,104.42,104.92,10180915,1067026552.81
2025-12-10,104.77,105.0,104.46,104.7,6707723.0,702205940.8
2025-12-11,104.7,104.86,104.29,104.31,8373928.0,874640054.15
2025-12-12,104.31,104.48,103.92,104.36,15945182,1660186120.02
2025-12-15,104.4,104.44,102.8,102.81,19547135,2020734691.43
2025-12-16,102.8,103.25,102.11,102.99,10906930.0,1119272225.63
2025-12-17,102.9,102.9,101.8,102.31,11959506,1222268013.16
2025-12-18,102.2,102.54,101.8,101.9,9791708.0,999468910.29
2025-12-19,102.01,102.43,101.86,102.16,8820683.0,900904764.33
2025-12-22,102.01,102.26,100.86,101.16,20592437,2085607728.27
2025-12-23,101.0,101.29,100.82,100.99,12770784,1289364531.81
2025-12-24,100.94,101.94,100.1,101.52,16437369,1658984681.21
2025-12-25,101.4,101.47,100.35,100.51,17634204,1775386564.89
2025-12-26,100.3,101.11,100.12,100.84,14736262,1482522710.9
2025-12-29,100.76,101.59,100.25,100.58,17789608,1793909116.73
2025-12-30,100.5,100.9,100.22,100.35,8788834.0,882278236.88
2025-12-31,100.35,101.13,100.35,101.05,10708241,1079065469.04
2026-01-05,101.38,101.44,100.0,100.58,21477952,2158943186.33
2026-01-06,100.58,100.73,100.13,100.66,15228763,1529741403.38
2026-01-07,100.59,101.02,100.22,100.3,15691902,1576801948.03
2026-01-08,100.3,100.45,100.04,100.12,13181669,1319990562.59
2026-01-09,100.12,100.36,99.54,100.12,18177767,1817591656.87
2026-01-12,100.44,100.59,100.0,100.4,16118216,1616280467.2
2026-01-13,100.41,100.89,100.02,100.18,17210814,1728861432.95
2026-01-14,100.18,100.21,99.0,99.03,26212401,2610123255.58
