date,open,high,low,close,volume,amount
2025-08-22,278.93,289.35,278.6,287.18,26421851,7543698627.98
2025-08-25,290.0,293.88,286.78,290.28,31229720.0,9046692965.14
2025-08-26,287.02,290.99,285.58,289.5,23024462,6648848315.09
2025-08-27,289.0,289.54,278.19,278.3,38258429,10859010299.88
2025-08-28,276.06,278.99,272.72,277.41,30466401,8407974991.21
2025-08-29,278.31,316.66,277.95,306.18,78013892,23482893636.73
2025-09-01,306.5,306.9,299.3,304.0,42996421,13012795663.32
2025-09-02,304.03,311.1,299.03,302.87,37116889,11289093082.83
2025-09-03,303.5,311.65,303.03,309.0,50897473,15640548986.17
2025-09-04,313.47,323.33,300.63,304.03,65754754,20442631453.08
2025-09-05,299.9,325.11,299.82,325.11,70819779,22440211715.74
2025-09-08,334.0,337.65,323.5,325.37,58834578,19349632049.47
2025-09-09,322.8,334.58,317.16,320.0,43402397,14085497657.59
2025-09-10,317.99,322.0,313.0,316.04,36752683,11649703595.37
2025-09-11,315.55,322.98,309.04,322.55,38034460.0,12060756826.83
2025-09-12,325.9,329.9,322.2,325.0,33871316,11031032652.98
2025-09-15,346.01,371.52,344.02,354.7,71841023,25586615240.53
2025-09-16,356.11,359.0,348.5,353.42,37744465,13325722241.64
2025-09-17,356.8,381.88,354.0,377.1,54377100.0,20113064234.21
2025-09-18,374.59,380.0,360.8,366.89,51889690.0,19308545613.54
2025-09-19,365.0,375.71,361.72,368.49,33914886,12515443886.56
2025-09-22,370.5,372.72,362.78,370.05,28527763,10474484764.41
2025-09-23,368.0,376.96,360.0,368.15,34849315,12813882349.63
2025-09-24,371.0,380.0,366.06,379.93,38314548,14311189086.36
2025-09-25,376.6,402.59,376.47,392.85,46639338,18251421707.6
2025-09-26,392.02,399.99,380.0,380.4,36263326,14106499741.53
2025-09-29,386.34,399.89,386.01,397.37,38964745,15381134070.09
2025-09-30,396.0,408.88,396.0,402.0,33031310.0,13278445666.93
2025-10-09,399.98,424.36,399.74,409.89,41208823,16989122538.13
2025-10-10,401.0,403.8,379.01,381.95,53311798,20684330795.05
2025-10-13,362.86,384.6,362.86,374.5,47150998,17618650276.77
