date,open,high,low,close,volume,amount
2023-01-03,1.036,1.038,1.032,1.032,1550000,1652577.2
2023-01-04,1.027,1.029,1.019,1.023,1586400,1671384.8
2023-01-05,1.022,1.022,1.007,1.011,3714100,3877463.7
2023-01-06,1.015,1.015,0.997,1.004,4968000,5124419.7
2023-01-09,1.012,1.012,1.003,1.012,4287100,4443544.6
2023-01-10,1.012,1.012,1.001,1.002,3497000,3614315.3
2023-01-11,1.003,1.005,1.002,1.004,799400,826482.4
2023-01-12,1.007,1.01,1.006,1.009,291500,302139.1
2023-01-13,1.013,1.027,1.009,1.023,869400,910519.6
2023-01-16,1.02,1.026,1.02,1.02,196400,206532.8
2023-01-17,1.025,1.045,1.024,1.032,202300,215346.4
2023-01-18,1.035,1.041,1.027,1.039,2693600,2863942.9
2023-01-19,1.044,1.05,1.042,1.048,750700,806372.9
2023-01-20,1.05,1.05,1.043,1.048,590600,635536.9
2023-01-30,1.045,1.067,1.045,1.066,102800,112323.9
2023-01-31,1.066,1.069,1.041,1.055,1144000,1245339.4
2023-02-01,1.063,1.064,1.051,1.052,2890400,3142282.4
2023-02-02,1.063,1.063,1.053,1.057,165400,179595
2023-02-03,1.065,1.068,1.061,1.062,1526600,1672835.7
2023-02-06,1.067,1.08,1.054,1.056,1698700,1857365.3
2023-02-07,1.054,1.054,1.052,1.054,34700,37569.1
2023-02-08,1.054,1.065,1.054,1.064,988800,1079575.8
2023-02-09,1.063,1.064,1.054,1.063,322800,352166
2023-02-10,1.059,1.067,1.055,1.06,1230400,1345336.7
2023-02-13,1.06,1.06,1.056,1.056,269200,292644.3
2023-02-14,1.062,1.107,1.057,1.065,713400,779580.9
2023-02-15,1.069,1.073,1.054,1.054,71300,77549.3
2023-02-16,1.06,1.06,1.053,1.055,595300,646148.7
2023-02-17,1.055,1.055,1.045,1.049,1655900,1785535.9
2023-02-20,1.049,1.054,1.049,1.051,1007000,1090864.1
2023-02-21,1.047,1.052,1.047,1.051,2520200,2720942.7
2023-02-22,1.045,1.045,1.032,1.037,205100,219025.7
2023-02-23,1.037,1.039,1.033,1.038,972600,1038349.5
2023-02-24,1.046,1.054,1.046,1.053,4430400,4786850.6
2023-02-27,1.046,1.054,1.046,1.053,112700,122017.1
2023-02-28,1.053,1.054,1.043,1.045,1784900,1920094.8
2023-03-01,1.052,1.052,1.027,1.043,32200,34504.2
2023-03-02,1.04,1.044,1.031,1.035,4956100,5277764
2023-03-03,1.045,1.05,1.045,1.049,578100,623218.2
2023-03-06,1.057,1.081,1.057,1.075,1036200,1135734.2
2023-03-07,1.079,1.079,1.064,1.076,48200,53319.1
2023-03-08,1.077,1.077,1.067,1.07,1063200,1169136.8
2023-03-09,1.071,1.085,1.071,1.084,1539900,1715447.9
2023-03-10,1.09,1.14,1.07,1.073,3542400,3959248.4
2023-03-13,1.072,1.072,1.055,1.063,50800,55320
2023-03-14,1.024,1.058,1.02,1.035,731200,781574.4
2023-03-15,1.037,1.041,1.031,1.034,991000,1054701.5
2023-03-16,1.029,1.041,1.017,1.038,979300,1045035.1
2023-03-17,1.04,1.045,1.038,1.045,1238300,1324506.5
2023-03-20,1.046,1.054,1.007,1.043,2728400,2923687
2023-03-21,1.05,1.053,1.041,1.045,503000,540800
2023-03-22,1.049,1.055,1.049,1.053,538200,582362.6
2023-03-23,1.056,1.059,1.054,1.055,2645200,2872973.5
2023-03-24,1.051,1.059,1.051,1.059,4162100,4512991.8
2023-03-27,1.069,1.069,1.055,1.061,2214700,2418151
2023-03-28,1.066,1.075,1.064,1.067,5091000,5596595.1
2023-03-29,1.065,1.073,1.065,1.073,1778300,1953143.3
2023-03-30,1.077,1.077,1.07,1.071,939000,1034829.1
2023-03-31,1.075,1.082,1.071,1.076,2947200,3255111.2
2023-04-03,1.087,1.087,1.079,1.082,1898000,2113429.5
2023-04-04,1.089,1.097,1.083,1.091,679100,761532.2
2023-04-06,1.08,1.105,1.069,1.075,706800,782066.1
2023-04-07,1.071,1.073,1.07,1.071,147800,162779.8
2023-04-10,1.07,1.07,1.067,1.069,29000,31850.6
2023-04-11,1.064,1.075,1.055,1.073,4200100,4631720.8
2023-04-12,1.077,1.081,1.077,1.081,687600,762658.8
2023-04-13,1.081,1.099,1.081,1.097,189900,212547.3
2023-04-14,1.094,1.098,1.091,1.092,404400,455056.2
2023-04-17,1.087,1.095,1.085,1.091,1218700,1366019.1
2023-04-18,1.097,1.099,1.09,1.093,948500,1065086.1
2023-04-19,1.083,1.093,1.083,1.092,34500,38644.7
2023-04-20,1.083,1.092,1.083,1.092,654500,732681.9
2023-04-21,1.084,1.104,1.084,1.096,646000,728528.5
2023-04-24,1.098,1.1,1.088,1.09,698900,788338.1
2023-04-25,1.092,1.101,1.092,1.099,1001700,1130529.9
2023-04-26,1.096,1.1,1.085,1.096,2022600,2276868.2
2023-04-27,1.091,1.103,1.091,1.1,750100,847636.6
2023-04-28,1.107,1.108,1.1,1.1,638500,723462.3
2023-05-04,1.106,1.116,1.101,1.116,305900,349400.2
2023-05-05,1.106,1.125,1.106,1.123,356700,411084.2
2023-05-08,1.131,1.131,1.109,1.116,111800,127880.7
2023-05-09,1.113,1.127,1.113,1.127,320500,369361
2023-05-10,1.126,1.135,1.116,1.117,786400,904154.3
2023-05-11,1.118,1.125,1.117,1.122,46600,53748.1
2023-05-12,1.128,1.141,1.123,1.134,1376900,1598511
2023-05-15,1.134,1.136,1.126,1.133,1361000,1582608.1
2023-05-16,1.134,1.144,1.134,1.144,2096400,2449591.1
2023-05-17,1.147,1.163,1.147,1.154,2751300,3257088.3
2023-05-18,1.159,1.197,1.156,1.161,10102100,12048802.6
2023-05-19,1.161,1.17,1.15,1.153,8653400,10333488.8
2023-05-22,1.158,1.169,1.158,1.164,7385900,8815145.7
2023-05-23,1.17,1.174,1.15,1.15,3541500,4217725.4
2023-05-24,1.145,1.156,1.141,1.141,5246500,6177275.1
2023-05-25,1.142,1.144,1.132,1.142,3715100,4341623.2
2023-05-26,1.143,1.143,1.137,1.138,615800,720658.3
2023-05-29,1.143,1.145,1.139,1.144,1625800,1907343.2
2023-05-30,1.142,1.146,1.137,1.146,1141800,1338498.7
2023-05-31,1.145,1.145,1.13,1.134,2077900,2428037
2023-06-01,1.146,1.16,1.135,1.145,10370200,12117116.1
2023-06-02,1.158,1.165,1.153,1.164,1999500,2378756.7
2023-06-05,1.174,1.183,1.167,1.182,3554400,4293555.1
2023-06-06,1.184,1.204,1.183,1.198,4335400,5306744.4
2023-06-07,1.21,1.21,1.181,1.181,3215300,3910994.1
2023-06-08,1.181,1.194,1.164,1.169,5502000,6609610.1
2023-06-09,1.188,1.193,1.182,1.192,2294600,2791473.6
2023-06-12,1.205,1.206,1.197,1.203,1582500,1951756
2023-06-13,1.215,1.231,1.21,1.22,4864000,6078127.6
2023-06-14,1.224,1.236,1.224,1.232,2996900,3776974.3
2023-06-15,1.233,1.237,1.219,1.219,4397500,5524497.3
2023-06-16,1.22,1.226,1.208,1.221,5579900,6969744
2023-06-19,1.22,1.224,1.205,1.211,2032300,2524601.8
2023-06-20,1.211,1.218,1.196,1.206,3031300,3744324.9
2023-06-21,1.217,1.227,1.213,1.226,5080600,6351202.4
2023-06-26,1.218,1.218,1.182,1.196,5288200,6480403.9
2023-06-27,1.19,1.19,1.176,1.189,1215200,1475093.9
2023-06-28,1.193,1.213,1.193,1.212,2630700,3248905.9
2023-06-29,1.218,1.336,1.202,1.204,7155200,8892619.7
2023-06-30,1.203,1.233,1.191,1.205,7833200,9665195
2023-07-03,1.217,1.227,1.211,1.217,10654700,13269244.2
2023-07-04,1.213,1.213,1.205,1.209,2596200,3218629.2
2023-07-05,1.206,1.21,1.206,1.208,3855200,4772534
2023-07-06,1.196,1.208,1.196,1.2,1674000,2060426.6
2023-07-07,1.193,1.197,1.187,1.187,2980200,3639604.5
2023-07-10,1.192,1.195,1.185,1.192,4619700,5637178.3
2023-07-11,1.198,1.208,1.196,1.198,2871200,3529988.2
2023-07-12,1.194,1.202,1.193,1.202,1799300,2211940.1
2023-07-13,1.208,1.223,1.208,1.222,3387700,4220939
2023-07-14,1.219,1.22,1.211,1.213,4447800,5545687.8
2023-07-17,1.213,1.215,1.202,1.214,701100,869849.5
2023-07-18,1.216,1.225,1.216,1.222,1635500,2044234.6
2023-07-19,1.227,1.264,1.227,1.239,3703400,4692990
2023-07-20,1.23,1.235,1.216,1.219,1803900,2264589.1
2023-07-21,1.219,1.219,1.205,1.208,4018800,4992542.8
2023-07-24,1.217,1.218,1.21,1.214,1757500,2187274.4
2023-07-25,1.214,1.215,1.205,1.21,1039600,1288270.5
2023-07-26,1.215,1.216,1.208,1.216,465900,578941.2
2023-07-27,1.215,1.229,1.215,1.229,1333400,1671145.3
2023-07-28,1.222,1.231,1.22,1.228,4829400,6051846.9
2023-07-31,1.238,1.238,1.22,1.226,4003300,5032622.5
2023-08-01,1.224,1.229,1.223,1.229,1221000,1533413.3
2023-08-02,1.221,1.221,1.208,1.21,1850000,2299823.6
2023-08-03,1.202,1.206,1.184,1.187,3005500,3672721.9
2023-08-04,1.199,1.199,1.172,1.198,6501400,7942651.7
2023-08-07,1.199,1.216,1.199,1.214,3902000,4828744.1
2023-08-08,1.215,1.22,1.208,1.21,744600,924907
2023-08-09,1.209,1.209,1.201,1.204,831700,1025509.8
2023-08-10,1.2,1.213,1.2,1.213,2150200,2657943.1
2023-08-11,1.213,1.22,1.207,1.208,757306,941302.53
2023-08-14,1.208,1.208,1.197,1.198,1135700,1398350.2
2023-08-15,1.201,1.205,1.199,1.199,438200,539137
2023-08-16,1.19,1.195,1.18,1.186,472400,575321.8
2023-08-17,1.179,1.179,1.162,1.179,2032200,2449606.9
2023-08-18,1.17,1.185,1.161,1.171,2331694,2800729.5
2023-08-21,1.177,1.186,1.173,1.18,2052400,2485940.4
2023-08-22,1.178,1.186,1.176,1.184,3209000,3881401.8
2023-08-23,1.19,1.195,1.188,1.195,1446200,1766121.6
2023-08-24,1.202,1.205,1.185,1.204,1534600,1892751.5
2023-08-25,1.2,1.2,1.18,1.182,1861900,2258183.5
2023-08-28,1.189,1.21,1.185,1.2,1375800,1688898.5
2023-08-29,1.205,1.205,1.199,1.201,442700,545001.6
2023-08-30,1.21,1.216,1.205,1.206,523800,649092.1
2023-08-31,1.208,1.223,1.208,1.22,1687102,2104095
2023-09-01,1.23,1.23,1.224,1.224,1469000,1848069
2023-09-04,1.228,1.26,1.225,1.238,1537200,1941670.4
2023-09-05,1.229,1.236,1.226,1.234,485400,612527.3
2023-09-06,1.243,1.248,1.241,1.247,3164600,4032141.6
2023-09-07,1.248,1.251,1.238,1.244,1777900,2266178.1
2023-09-08,1.244,1.244,1.228,1.235,996800,1259840.8
2023-09-11,1.233,1.24,1.231,1.238,2139900,2704144.8
2023-09-12,1.238,1.245,1.23,1.244,2655400,3358669.7
2023-09-13,1.244,1.244,1.231,1.235,1457900,1845614.7
2023-09-14,1.239,1.253,1.239,1.251,6706300,8554080.6
2023-09-15,1.254,1.262,1.253,1.255,3615000,4655045
2023-09-18,1.25,1.253,1.242,1.253,1870300,2392389.5
2023-09-19,1.253,1.266,1.243,1.256,3503187,4499018.4
2023-09-20,1.256,1.258,1.246,1.247,2442600,3129447.7
2023-09-21,1.244,1.244,1.226,1.229,4082700,5147447.5
2023-09-22,1.215,1.231,1.215,1.229,2467200,3095759.2
2023-09-25,1.232,1.233,1.23,1.231,1070900,1351052.1
2023-09-26,1.22,1.226,1.216,1.218,1241800,1552441.2
2023-09-27,1.21,1.22,1.208,1.22,1247600,1548222.5
2023-09-28,1.22,1.221,1.207,1.213,819900,1021493.4
2023-10-09,1.19,1.19,1.166,1.171,3262502,3922945.1
2023-10-10,1.191,1.198,1.188,1.194,2499702,3055267.5
2023-10-11,1.195,1.199,1.193,1.195,1675902,2055011
2023-10-12,1.197,1.215,1.197,1.213,1212000,1501360.6
2023-10-13,1.206,1.208,1.187,1.189,2355700,2883712.1
2023-10-16,1.171,1.184,1.17,1.175,1271200,1529933.9
2023-10-17,1.188,1.188,1.178,1.184,1007100,1221809.9
2023-10-18,1.179,1.185,1.176,1.184,497100,601608
2023-10-19,1.175,1.175,1.164,1.167,1708300,2043677.8
2023-10-20,1.167,1.167,1.153,1.16,610100,727343.6
2023-10-23,1.158,1.16,1.151,1.152,532300,630582.6
2023-10-24,1.139,1.157,1.132,1.156,2475400,2903064.5
2023-10-25,1.164,1.168,1.157,1.161,892500,1065667
2023-10-26,1.15,1.15,1.137,1.138,1182700,1383977.1
2023-10-27,1.15,1.159,1.15,1.155,843500,999037.7
2023-10-30,1.149,1.157,1.147,1.154,1463500,1727973
2023-10-31,1.158,1.161,1.152,1.161,2042700,2422326.3
2023-11-01,1.174,1.185,1.171,1.184,917300,1106988.2
2023-11-02,1.191,1.203,1.189,1.189,2083400,2551173.3
2023-11-03,1.199,1.208,1.198,1.205,2028300,2499882.4
2023-11-06,1.217,1.22,1.211,1.213,2132200,2656874.6
2023-11-07,1.196,1.205,1.186,1.189,1531400,1874739.7
2023-11-08,1.189,1.189,1.172,1.174,1226400,1484678.3
2023-11-09,1.179,1.19,1.175,1.189,1717387,2084217.1
2023-11-10,1.186,1.189,1.166,1.186,798400,966733.9
2023-11-13,1.189,1.192,1.18,1.187,467200,567648.7
2023-11-14,1.193,1.194,1.188,1.188,408800,499785.8
2023-11-15,1.202,1.207,1.2,1.205,589100,726866.9
2023-11-16,1.2,1.203,1.191,1.202,607400,746172.5
2023-11-17,1.202,1.215,1.192,1.214,1685500,2085512.1
2023-11-20,1.224,1.224,1.203,1.205,1970100,2443264.8
2023-11-21,1.199,1.208,1.199,1.206,2191200,2703349.2
2023-11-22,1.208,1.211,1.202,1.202,674900,835308.2
2023-11-23,1.205,1.209,1.203,1.208,496400,614112.4
2023-11-24,1.21,1.21,1.198,1.205,1034700,1279065.6
2023-11-27,1.205,1.207,1.201,1.204,681000,840382.3
2023-11-28,1.204,1.209,1.204,1.209,1366000,1689363.2
2023-11-29,1.214,1.214,1.205,1.205,2974200,3687551.4
2023-11-30,1.204,1.215,1.204,1.215,2404700,2977982.2
2023-12-01,1.34,1.34,1.208,1.208,1009200,1262422.6
2023-12-04,1.213,1.215,1.207,1.211,770500,956568.8
2023-12-05,1.199,1.202,1.19,1.199,1123300,1378544.4
2023-12-06,1.213,1.226,1.213,1.225,1280300,1601138.9
2023-12-07,1.221,1.221,1.205,1.219,2172000,2704152.6
2023-12-08,1.219,1.23,1.216,1.218,1373100,1720942.2
