date,open,high,low,close,volume,amount
2025-01-02,3.128,3.136,3.013,3.045,81627100,251810610
2025-01-03,3.044,3.057,2.973,2.979,119299006,359200510
2025-01-06,2.978,3.006,2.953,2.974,92452500,275209320
2025-01-07,2.979,3.007,2.963,3.005,61917600,185095790
2025-01-08,2.995,3.018,2.919,2.993,80871788,240448190
2025-01-09,2.981,3.011,2.981,2.99,66934188,200719210
2025-01-10,2.985,3.015,2.947,2.948,77278694,230656180
2025-01-13,2.922,2.974,2.921,2.951,57208600,168378860
2025-01-14,2.956,3.061,2.946,3.052,164127510,496408310
2025-01-15,3.051,3.051,3.021,3.029,76983200,233505950
2025-01-16,3.033,3.089,3.017,3.038,69734000,212687610
2025-01-17,3.041,3.082,3.024,3.062,62249200,189980240
2025-01-20,3.073,3.107,3.067,3.077,63703700,196659330
2025-01-21,3.086,3.096,3.053,3.087,57912400,177950260
2025-01-22,3.082,3.083,3.049,3.076,73021900,223926500
2025-01-23,3.096,3.136,3.058,3.06,91227439,282889740
2025-01-24,3.058,3.105,3.057,3.102,96131100,296839840
2025-01-27,3.115,3.115,3.057,3.059,73265300,226022850
2025-02-05,3.094,3.094,3.062,3.075,53341700,164059100
2025-02-06,3.075,3.153,3.067,3.146,66867900,208725930
2025-02-07,3.146,3.231,3.144,3.2,187204500,597103920
2025-02-10,3.201,3.238,3.2,3.227,68505900,220456150
2025-02-11,3.226,3.227,3.194,3.212,46278500,148593630
2025-02-12,3.211,3.261,3.203,3.254,44038277,142248180
2025-02-13,3.254,3.265,3.229,3.241,48572600,157644180
2025-02-14,3.228,3.269,3.228,3.263,35460100,115186820
2025-02-17,3.276,3.284,3.235,3.259,58397699,190247090
2025-02-18,3.254,3.26,3.188,3.206,68513644,221357800
2025-02-19,3.204,3.261,3.196,3.254,37156788,120372839
2025-02-20,3.254,3.278,3.243,3.264,60872400,198407410
2025-02-21,3.263,3.326,3.257,3.317,51593494,170040750
2025-02-24,3.317,3.328,3.29,3.313,81656800,270472540
2025-02-25,3.267,3.308,3.261,3.279,42695500,140241400
2025-02-26,3.28,3.322,3.271,3.313,146453160,483566840
2025-02-27,3.312,3.321,3.256,3.305,75615144,249006300
2025-02-28,3.281,3.292,3.206,3.221,93106367,301084750
2025-03-03,3.222,3.271,3.209,3.224,62850200,203819840
2025-03-04,3.208,3.258,3.204,3.252,43192200,139861960
2025-03-05,3.252,3.266,3.225,3.259,98432000,318560270
2025-03-06,3.268,3.325,3.268,3.314,49534600,163412790
2025-03-07,3.305,3.323,3.285,3.296,97951881,323481750
2025-03-10,3.295,3.307,3.271,3.294,105351221,346043750
2025-03-11,3.252,3.312,3.252,3.311,81072333,265949400
2025-03-12,3.317,3.345,3.307,3.312,60062980,199298140
2025-03-13,3.308,3.316,3.26,3.284,48026700,157680490
2025-03-14,3.283,3.345,3.276,3.341,79444142,264168000
2025-03-17,3.355,3.357,3.339,3.344,66283082,221865810
2025-03-18,3.357,3.379,3.35,3.36,75141401,252658130
2025-03-19,3.352,3.358,3.328,3.347,83308953,278498140
2025-03-20,3.344,3.347,3.32,3.323,67630206,225476330
2025-03-21,3.311,3.327,3.261,3.274,63511785,209363750
2025-03-24,3.272,3.28,3.223,3.268,67199900,218844300
2025-03-25,3.27,3.282,3.247,3.259,52372600,170909600
2025-03-26,3.253,3.282,3.253,3.258,173762560,566975110
2025-03-27,3.25,3.29,3.227,3.265,67468302,219785030
2025-03-28,3.266,3.274,3.234,3.242,61530088,200165720
2025-03-31,3.228,3.239,3.178,3.211,49391200,158448240
2025-04-01,3.207,3.251,3.207,3.229,40801900,131860432
2025-04-02,3.227,3.256,3.225,3.233,43175900,139809690
2025-04-03,3.205,3.24,3.19,3.205,63346300,203342740
2025-04-07,3.04,3.09,2.885,2.888,106372800,316799420
2025-04-08,2.895,2.941,2.869,2.918,84476800,245065400
2025-04-09,2.879,2.995,2.82,2.975,70727890,206387700
2025-04-10,3.018,3.079,3.018,3.036,68361600,208519960
2025-04-11,3.029,3.088,3.026,3.055,41915800,128065686
2025-04-14,3.077,3.102,3.071,3.082,41165000,126948339
2025-04-15,3.082,3.084,3.051,3.069,42976900,131698362
2025-04-16,3.052,3.062,3.014,3.041,39529171,120104407
2025-04-17,3.023,3.073,3.023,3.044,25511500,78061708
2025-04-18,3.044,3.058,3.029,3.043,31139600,94782674
2025-04-21,3.045,3.095,3.031,3.09,39910744,122736923
2025-04-22,3.089,3.097,3.077,3.082,22635000,69827567
2025-04-23,3.095,3.115,3.077,3.087,39923000,123504047
2025-04-24,3.087,3.097,3.059,3.075,15948900,49062598
2025-04-25,3.077,3.107,3.067,3.083,18674400,57662633
2025-04-28,3.091,3.091,3.061,3.071,33149984,101757050
2025-04-29,3.069,3.085,3.054,3.073,50390200,154803420
2025-04-30,3.079,3.095,3.07,3.085,38863300,119931929
2025-05-06,3.097,3.146,3.097,3.145,35071994,109792856
2025-05-07,3.173,3.196,3.131,3.149,35023400,110598594
2025-05-08,3.14,3.174,3.14,3.166,26105993,82500344
2025-05-09,3.161,3.163,3.125,3.141,43224321,135668160
2025-05-12,3.158,3.18,3.147,3.178,67310921,213234030
2025-05-13,3.195,3.202,3.163,3.169,39412621,125130409
2025-05-14,3.169,3.204,3.152,3.181,44881594,142363390
2025-05-15,3.18,3.18,3.134,3.138,54698100,172156550
2025-05-16,3.128,3.146,3.128,3.131,64172200,201285690
2025-05-19,3.13,3.144,3.107,3.139,27514500,85979952
2025-05-20,3.14,3.16,3.128,3.153,22218000,69830780
2025-05-21,3.153,3.16,3.145,3.156,23587700,74399859
2025-05-22,3.146,3.164,3.13,3.131,27760100,87259178
2025-05-23,3.128,3.154,3.104,3.106,50500100,157985500
2025-05-26,3.112,3.13,3.097,3.113,24225600,75439395
2025-05-27,3.111,3.115,3.092,3.104,21238100,65904373
2025-05-28,3.105,3.112,3.093,3.101,26806600,83091499
2025-05-29,3.101,3.149,3.1,3.143,45461800,142170410
2025-05-30,3.13,3.137,3.113,3.125,58453388,182502830
2025-06-03,3.109,3.143,3.109,3.128,35501400,111060654
2025-06-04,3.142,3.162,3.13,3.156,39491264,124199360
2025-06-05,3.156,3.18,3.146,3.171,16724700,52899283
2025-06-06,3.184,3.184,3.167,3.175,23384188,74194672
2025-06-09,3.175,3.21,3.175,3.195,63797200,204305980
2025-06-10,3.199,3.199,3.151,3.169,39326900,124965767
2025-06-11,3.177,3.208,3.171,3.19,49654847,158637810
2025-06-12,3.178,3.2,3.173,3.195,35198462,112296459
2025-06-13,3.193,3.193,3.157,3.169,61091700,193907810
2025-06-16,3.164,3.19,3.161,3.183,126103700,401158880
2025-06-17,3.189,3.189,3.165,3.174,99825100,316775500
2025-06-18,3.166,3.177,3.151,3.171,15929088,50413454
2025-06-19,3.168,3.174,3.126,3.138,32975300,103581003
2025-06-20,3.131,3.143,3.116,3.12,30979800,96748525
2025-06-23,3.116,3.142,3.107,3.134,32668544,102123265
2025-06-24,3.137,3.186,3.136,3.184,38475100,122209343
2025-06-25,3.195,3.247,3.187,3.245,49607212,159583460
2025-06-26,3.24,3.251,3.228,3.229,43042600,139394700
2025-06-27,3.233,3.269,3.229,3.243,61194900,198705180
2025-06-30,3.253,3.274,3.246,3.272,74828897,244256210
2025-07-01,3.27,3.285,3.257,3.282,27101889,88563662
2025-07-02,3.279,3.279,3.251,3.265,38710872,126232078
2025-07-03,3.262,3.281,3.255,3.275,122090307,398390080
2025-07-04,3.275,3.304,3.26,3.272,117592189,385654070
2025-07-07,3.261,3.272,3.259,3.263,22280000,72758338
2025-07-08,3.26,3.313,3.26,3.31,18840537,62128950
2025-07-09,3.31,3.316,3.293,3.297,16025800,53011217
2025-07-10,3.298,3.326,3.291,3.311,17201900,56868659
2025-07-11,3.311,3.362,3.301,3.341,64006765,213855520
2025-07-14,3.34,3.347,3.331,3.335,42882100,143208470
2025-07-15,3.335,3.354,3.308,3.335,45342357,150943410
2025-07-16,3.334,3.361,3.321,3.333,44692700,149206910
2025-07-17,3.327,3.374,3.327,3.372,30156564,101196332
2025-07-18,3.373,3.392,3.368,3.384,40054388,135419310
2025-07-21,3.408,3.416,3.39,3.414,37460200,127595451
2025-07-22,3.416,3.459,3.411,3.453,44146219,151470380
2025-07-23,3.453,3.475,3.43,3.44,42203977,145663420
2025-07-24,3.433,3.495,3.433,3.486,50293027,174581680
2025-07-25,3.492,3.5,3.478,3.492,91733848,320401810
2025-07-28,3.487,3.513,3.478,3.504,31760799,111205657
2025-07-29,3.495,3.531,3.476,3.529,27222901,95208287
2025-07-30,3.521,3.537,3.481,3.503,53926064,189794770
2025-07-31,3.487,3.504,3.441,3.454,52060152,181133960
2025-08-01,3.448,3.471,3.428,3.446,23297176,80440215
2025-08-04,3.44,3.478,3.431,3.476,22573100,77925355
2025-08-05,3.476,3.499,3.476,3.498,50178324,175015480
2025-08-06,3.498,3.53,3.489,3.527,70322785,247490920
2025-08-07,3.527,3.535,3.492,3.514,53418924,187467720
2025-08-08,3.508,3.526,3.497,3.51,27960538,98118400
2025-08-11,3.517,3.557,3.516,3.545,42734400,151362130
2025-08-12,3.545,3.563,3.531,3.562,35216877,124925950
2025-08-13,3.569,3.619,3.565,3.613,33834389,121429577
2025-08-14,3.624,3.624,3.562,3.574,51474000,185193930
2025-08-15,3.558,3.654,3.558,3.653,40632877,147361880
2025-08-18,3.67,3.727,3.652,3.7,50555988,186777360
2025-08-19,3.699,3.722,3.683,3.693,43739088,161860180
2025-08-20,3.683,3.743,3.657,3.742,59492560,219827790
2025-08-21,3.742,3.757,3.708,3.726,40028867,149267500
2025-08-22,3.714,3.795,3.714,3.793,70400978,265116030
2025-08-25,3.88,3.88,3.812,3.858,55910567,214717400
2025-08-26,3.854,3.894,3.835,3.866,52909364,204515710
2025-08-27,3.859,3.927,3.805,3.81,50099391,193988510
2025-08-28,3.8,3.897,3.775,3.897,59846100,229238920
2025-08-29,3.897,3.937,3.876,3.926,88413744,344970000
2025-09-01,3.934,3.951,3.904,3.947,30188300,118586328
2025-09-02,3.942,3.943,3.835,3.877,37163177,144192220
2025-09-03,3.877,3.886,3.795,3.813,26896044,103552038
2025-09-04,3.813,3.836,3.67,3.724,46475739,174252500
2025-09-05,3.727,3.856,3.707,3.843,51408700,194254860
2025-09-08,3.842,3.884,3.822,3.882,37723211,145198890
2025-09-09,3.879,3.883,3.824,3.843,25357933,97790132
2025-09-10,3.828,3.876,3.814,3.842,36392455,140208510
2025-09-11,3.842,3.964,3.821,3.96,49704518,195238610
2025-09-12,3.96,4,3.951,3.972,40521867,161080820
2025-09-15,3.968,3.987,3.954,3.961,45253621,179709160
2025-09-16,3.96,4,3.934,3.994,32439466,128866419
2025-09-17,3.987,4.04,3.974,4.038,42638522,171260410
2025-09-18,4.027,4.087,3.959,4.009,41242740,166337600
2025-09-19,4.011,4.02,3.968,3.985,27129918,108499796
2025-09-22,4.015,4.019,3.965,4.015,22200200,88515359
2025-09-23,4.012,4.024,3.914,3.992,49390488,195723510
2025-09-24,3.968,4.078,3.963,4.074,31879286,128733914
2025-09-25,4.074,4.104,4.067,4.086,26721280,109134465
2025-09-26,4.068,4.089,4.025,4.026,38240820,155162190
2025-09-29,4.023,4.106,4.012,4.094,39194000,159405210
2025-09-30,4.097,4.135,4.095,4.124,51845555,213125270
2025-10-09,4.15,4.208,4.134,4.198,39705722,166263330
2025-10-10,4.198,4.198,4.104,4.113,54355018,224810000
2025-10-13,3.98,4.111,3.98,4.093,83243500,337826580
2025-10-14,4.13,4.142,3.983,4.002,54705600,222280360
2025-10-15,3.995,4.059,3.976,4.059,29829200,119823135
2025-10-16,4.055,4.06,4.006,4.022,48707344,196622180
2025-10-17,4.022,4.035,3.9,3.905,26939551,106428977
2025-10-20,3.935,3.965,3.91,3.926,31154100,122790371
2025-10-21,3.935,4.003,3.935,3.992,28117594,111875602
2025-10-22,3.955,3.993,3.948,3.964,19274300,76438214
2025-10-23,3.961,3.978,3.902,3.973,59360800,234118250
2025-10-24,3.988,4.042,3.977,4.041,41428133,166196600
2025-10-27,4.068,4.107,4.061,4.101,36661691,150045660
2025-10-28,4.085,4.12,4.062,4.081,29264251,119665115
2025-10-29,4.077,4.166,4.075,4.162,23602444,97570885
2025-10-30,4.162,4.162,4.102,4.113,35739100,147538100
2025-10-31,4.117,4.136,4.076,4.079,47854800,196116050
2025-11-03,4.069,4.086,4.011,4.086,54047400,218397470
2025-11-04,4.075,4.075,3.986,4.016,38483000,154957150
2025-11-05,3.971,4.036,3.96,4.019,25961600,103742297
2025-11-06,4.033,4.093,4.025,4.086,30197095,122654800
2025-11-07,4.066,4.1,4.05,4.078,28414766,115886221
2025-11-10,4.092,4.112,4.053,4.084,20055247,81712054
2025-11-11,4.106,4.112,4.049,4.055,23363827,95132158
2025-11-12,4.047,4.07,4,4.035,22218181,89628545
2025-11-13,4.025,4.102,4.025,4.094,31043878,126497498
2025-11-14,4.069,4.078,4.025,4.027,28838177,116978289
2025-11-17,4.025,4.042,4.006,4.021,26740158,107537845
2025-11-18,4.02,4.022,3.961,3.985,31929194,127421339
2025-11-19,3.992,4,3.946,3.967,26016346,103377500
2025-11-20,3.999,4.002,3.93,3.936,22082020,87476927
2025-11-21,3.872,3.919,3.802,3.804,77170437,295749350
2025-11-24,3.799,3.848,3.787,3.826,49841294,190224840
2025-11-25,3.848,3.91,3.848,3.865,39392939,152856780
2025-11-26,3.869,3.909,3.861,3.876,37072692,144228170
2025-11-27,3.876,3.923,3.861,3.87,26300200,102379267
2025-11-28,3.868,3.916,3.863,3.909,77394200,302167930
2025-12-01,3.915,3.955,3.914,3.952,26269270,103426206
2025-12-02,3.947,3.947,3.909,3.92,17257064,67681211
2025-12-03,3.918,3.933,3.887,3.901,18968000,74147649
2025-12-04,3.912,3.923,3.876,3.907,18146055,70840750
2025-12-05,3.91,3.96,3.879,3.958,27840000,109327946
2025-12-08,3.962,4.006,3.962,3.993,26667325,106331515
2025-12-09,3.978,3.997,3.955,3.96,22753900,90432560
2025-12-10,3.96,3.991,3.933,3.98,26986879,106694798
2025-12-11,3.987,3.994,3.942,3.945,50334226,199503530
2025-12-12,3.96,4.006,3.939,3.996,66515655,264987600
2025-12-15,3.985,4.009,3.966,3.973,104750541,416849070
2025-12-16,3.967,3.967,3.886,3.913,157246380,615308760
2025-12-17,3.907,4.002,3.9,3.989,111169000,439484430
2025-12-18,3.978,4.005,3.966,3.97,107586494,428549990
2025-12-19,3.971,4.018,3.971,4.002,44950701,179909100
2025-12-22,4.059,4.061,4.019,4.048,34494439,139634050
