date,code,开盘,最高,最低,收盘,涨幅,金额
2026-07-13,159561,1.29,1.293,1.283,1.286,-0.0123,78215247
2026-07-13,159687,1.804,1.811,1.771,1.779,-0.0236,364022840
2026-07-13,159781,1.291,1.32,1.25,1.266,-0.038,696714890
2026-07-13,159941,1.606,1.62,1.606,1.608,-0.0068,1172023200
2026-07-13,513180,0.598,0.609,0.59,0.593,-0.0215,4986900600
2026-07-13,513520,2.313,2.318,2.274,2.275,-0.029,363299120
2026-07-13,561980,0.85,0.899,0.83,0.842,-0.0377,945271090
2026-07-13,588000,2.16,2.226,2.081,2.1,-0.0493,9118631300
2026-07-14,159561,1.285,1.289,1.279,1.286,0.0,113238195
2026-07-14,159687,1.79,1.799,1.749,1.789,0.0056,334755360
2026-07-14,159781,1.261,1.304,1.23,1.301,0.0276,602559700
2026-07-14,159941,1.6,1.616,1.584,1.613,0.0031,1446773300
2026-07-14,513180,0.59,0.598,0.581,0.595,0.0034,4645816100
2026-07-14,513520,2.275,2.306,2.235,2.3,0.011,517069940
2026-07-14,561980,0.83,0.855,0.788,0.841,-0.0012,867986070
2026-07-14,588000,2.094,2.136,1.998,2.125,0.0119,9512576600
2026-07-15,159561,1.293,1.297,1.291,1.294,0.0062,76428236
2026-07-15,159687,1.83,1.849,1.82,1.837,0.0268,380329610
2026-07-15,159781,1.309,1.315,1.252,1.256,-0.0346,585643410
2026-07-15,159941,1.627,1.632,1.62,1.629,0.0099,1278878410
2026-07-15,513180,0.598,0.606,0.591,0.603,0.0134,3993403700
2026-07-15,513520,2.308,2.362,2.293,2.35,0.0217,523353470
2026-07-15,561980,0.853,0.854,0.78,0.787,-0.0642,711753160
2026-07-15,588000,2.133,2.141,2.011,2.028,-0.0456,9061939200
2026-07-16,159561,1.29,1.297,1.289,1.296,0.0015,56546097
2026-07-16,159687,1.785,1.818,1.785,1.815,-0.012,276156210
2026-07-16,159781,1.227,1.261,1.196,1.209,-0.0374,658950210
2026-07-16,159941,1.611,1.622,1.608,1.61,-0.0117,1197573950
2026-07-16,513180,0.603,0.622,0.603,0.613,0.0166,4957134700
2026-07-16,513520,2.283,2.304,2.274,2.28,-0.0298,481706180
2026-07-16,561980,0.756,0.792,0.731,0.739,-0.061,574541690
2026-07-16,588000,1.977,2.054,1.928,1.945,-0.0409,9033153300
2026-07-17,159561,1.285,1.285,1.272,1.28,-0.0123,84318357
2026-07-17,159687,1.787,1.787,1.695,1.712,-0.0567,449421520
2026-07-17,159781,1.182,1.207,1.103,1.126,-0.0687,1221495510
2026-07-17,159941,1.581,1.587,1.555,1.561,-0.0304,1638391600
2026-07-17,513180,0.611,0.615,0.581,0.586,-0.044,4617126900
2026-07-17,513520,2.217,2.218,2.128,2.163,-0.0513,554853820
2026-07-17,561980,0.723,0.744,0.689,0.697,-0.0568,804490180
2026-07-17,588000,1.922,1.945,1.791,1.807,-0.071,14287477000
2026-07-20,159561,1.282,1.285,1.277,1.279,-0.0008,52493193
2026-07-20,159687,1.741,1.744,1.728,1.734,0.0129,213796510
2026-07-20,159781,1.155,1.169,1.092,1.138,0.0107,816183590
2026-07-20,159941,1.562,1.57,1.551,1.551,-0.0064,1105296560
2026-07-20,513180,0.598,0.607,0.596,0.602,0.0273,4468900200
2026-07-20,513520,2.182,2.195,2.149,2.157,-0.0028,347533040
2026-07-20,561980,0.715,0.726,0.655,0.674,-0.033,689042290
2026-07-20,588000,1.851,1.873,1.737,1.815,0.0044,23452638000
2026-07-21,159561,1.279,1.289,1.275,1.288,0.007,77081917
2026-07-21,159687,1.758,1.86,1.758,1.808,0.0427,1450252700
2026-07-21,159781,1.15,1.24,1.104,1.239,0.0888,1282022060
2026-07-21,159941,1.559,1.589,1.556,1.589,0.0245,1298252070
2026-07-21,513180,0.604,0.613,0.599,0.61,0.0133,3992541400
2026-07-21,513520,2.188,2.238,2.17,2.232,0.0348,640318570
2026-07-21,561980,0.69,0.741,0.655,0.741,0.0994,738967190
2026-07-21,588000,1.832,2.017,1.755,2.016,0.1107,17322012000
2026-07-22,159561,1.291,1.292,1.286,1.287,-0.0008,68892087
2026-07-22,159687,1.827,1.842,1.785,1.786,-0.0122,550662390
2026-07-22,159781,1.218,1.242,1.185,1.195,-0.0355,888505930
2026-07-22,159941,1.59,1.604,1.584,1.587,-0.0013,1193224020
2026-07-22,513180,0.603,0.604,0.59,0.592,-0.0295,3691454800
2026-07-22,513520,2.266,2.279,2.206,2.207,-0.0112,568923350
2026-07-22,561980,0.757,0.8,0.746,0.756,0.0202,758150260
2026-07-22,588000,1.963,2.038,1.935,1.955,-0.0303,13736182000
2026-07-23,159561,1.298,1.299,1.292,1.293,0.0047,53293158
2026-07-23,159687,1.812,1.814,1.797,1.809,0.0129,172289880
2026-07-23,159781,1.211,1.215,1.166,1.184,-0.0092,488239250
2026-07-23,159941,1.597,1.597,1.584,1.589,0.0013,906497870
2026-07-23,513180,0.593,0.599,0.586,0.595,0.0051,2354154500
2026-07-23,513520,2.234,2.235,2.21,2.22,0.0059,327026080
2026-07-23,561980,0.758,0.772,0.715,0.727,-0.0384,599803830
2026-07-23,588000,1.97,1.979,1.867,1.888,-0.0343,10026719700
2026-07-24,159561,1.275,1.277,1.273,1.275,-0.0139,51932342
2026-07-24,159687,1.78,1.788,1.746,1.753,-0.031,476908780
2026-07-24,159781,1.156,1.186,1.154,1.162,-0.0186,455532370
2026-07-24,159941,1.561,1.571,1.561,1.569,-0.0126,828229360
2026-07-24,513180,0.586,0.591,0.583,0.585,-0.0168,2712786900
2026-07-24,513520,2.156,2.171,2.156,2.16,-0.027,242640480
2026-07-24,561980,0.708,0.761,0.707,0.743,0.022,543425290
2026-07-24,588000,1.851,1.931,1.85,1.885,-0.0016,8981897900
2026-07-27,159561,1.294,1.309,1.294,1.308,0.0259,72750838
2026-07-27,159687,1.75,1.798,1.75,1.783,0.0171,321027450
2026-07-27,159781,1.161,1.19,1.137,1.19,0.0241,376186710
2026-07-27,159941,1.566,1.579,1.564,1.579,0.0064,973030850
2026-07-27,513180,0.588,0.598,0.585,0.597,0.0205,2437476300
2026-07-27,513520,2.148,2.19,2.14,2.19,0.0139,360637330
2026-07-27,561980,0.743,0.77,0.716,0.763,0.0269,544148290
2026-07-27,588000,1.875,1.918,1.819,1.911,0.0138,7625768800
2026-07-28,159561,1.302,1.306,1.301,1.306,-0.0015,49503771
2026-07-28,159687,1.71,1.73,1.71,1.718,-0.0365,206015480
2026-07-28,159781,1.15,1.166,1.085,1.099,-0.0765,1086562140
2026-07-28,159941,1.547,1.55,1.531,1.534,-0.0285,1034309480
2026-07-28,513180,0.597,0.606,0.592,0.596,-0.0017,3066149600
2026-07-28,513520,2.103,2.118,2.094,2.098,-0.042,371617710
2026-07-28,561980,0.745,0.767,0.704,0.713,-0.0655,613712190
2026-07-28,588000,1.86,1.896,1.768,1.785,-0.0659,10958751200
2026-07-29,159561,1.309,1.31,1.303,1.308,0.0015,57365391
2026-07-29,159687,1.724,1.73,1.702,1.72,0.0012,256469360
2026-07-29,159781,1.093,1.11,1.05,1.1,0.0009,662122030
2026-07-29,159941,1.538,1.54,1.527,1.538,0.0026,1069747950
2026-07-29,513180,0.605,0.617,0.604,0.615,0.0319,3964423300
2026-07-29,513520,2.096,2.107,2.054,2.096,-0.001,473837440
2026-07-29,561980,0.709,0.723,0.661,0.701,-0.0168,645068660
2026-07-29,588000,1.782,1.807,1.698,1.776,-0.005,12958762500
2026-07-30,159561,1.315,1.318,1.307,1.307,-0.0008,76932092
2026-07-30,159687,1.723,1.741,1.696,1.704,-0.0093,254489660
2026-07-30,159781,1.08,1.089,1.016,1.04,-0.0545,938162560
2026-07-30,159941,1.525,1.529,1.509,1.516,-0.0143,984380290
2026-07-30,513180,0.618,0.622,0.604,0.609,-0.0098,4110329000
2026-07-30,513520,2.106,2.128,2.065,2.075,-0.01,435389310
2026-07-30,561980,0.684,0.697,0.64,0.65,-0.0728,708058030
2026-07-30,588000,1.743,1.766,1.647,1.669,-0.0602,15258173000
2026-07-31,159561,1.33,1.334,1.327,1.33,0.0176,59764971
2026-07-31,159687,1.819,1.842,1.782,1.8,0.0563,924059510
2026-07-31,159781,1.11,1.129,1.073,1.073,0.0317,855873170
2026-07-31,159941,1.571,1.587,1.568,1.574,0.0383,1858237600
2026-07-31,513180,0.61,0.615,0.604,0.609,0.0,4044001800
2026-07-31,513520,2.2,2.205,2.155,2.167,0.0443,648830830
2026-07-31,561980,0.714,0.715,0.671,0.674,0.0369,859564090
2026-07-31,588000,1.789,1.827,1.724,1.728,0.0354,15471589000
2026-08-03,159561,1.337,1.346,1.337,1.342,0.009,73231542
2026-08-03,159687,1.771,1.806,1.771,1.803,0.0017,177060840
2026-08-03,159781,1.055,1.066,1.037,1.04,-0.0308,465081840
2026-08-03,159941,1.576,1.596,1.576,1.585,0.007,891279580
2026-08-03,513180,0.612,0.619,0.612,0.615,0.0099,3428796900
2026-08-03,513520,2.151,2.212,2.151,2.206,0.018,443158350
2026-08-03,561980,0.655,0.663,0.609,0.609,-0.0964,923667130
2026-08-03,588000,1.698,1.71,1.635,1.636,-0.0532,10758159100
2026-08-04,159561,1.355,1.361,1.354,1.358,0.0119,65113443
2026-08-04,159687,1.8,1.803,1.783,1.796,-0.0039,375353690
2026-08-04,159781,1.059,1.108,1.05,1.099,0.0567,769104840
2026-08-04,159941,1.621,1.633,1.616,1.631,0.029,953514860
2026-08-04,513180,0.616,0.622,0.611,0.617,0.0033,3088696500
2026-08-04,513520,2.193,2.229,2.181,2.224,0.0082,541132610
2026-08-04,561980,0.614,0.652,0.608,0.643,0.0558,550420160
2026-08-04,588000,1.649,1.72,1.642,1.706,0.0428,10513818200
2026-08-05,159561,1.372,1.379,1.37,1.379,0.0155,71372388
2026-08-05,159687,1.83,1.849,1.827,1.83,0.0189,427760210
2026-08-05,159781,1.068,1.145,1.067,1.13,0.0282,896511120
2026-08-05,159941,1.675,1.694,1.674,1.69,0.0362,1280170590
2026-08-05,513180,0.618,0.625,0.617,0.624,0.0113,3291366300
2026-08-05,513520,2.287,2.312,2.275,2.31,0.0387,480989920
2026-08-05,561980,0.644,0.707,0.643,0.697,0.084,847490610
2026-08-05,588000,1.706,1.809,1.7,1.786,0.0469,11405234200
2026-08-06,159561,1.365,1.368,1.361,1.365,-0.0102,53091975
2026-08-06,159687,1.8,1.812,1.8,1.805,-0.0137,171355260
2026-08-06,159781,1.106,1.146,1.095,1.127,-0.0027,573761540
2026-08-06,159941,1.669,1.68,1.664,1.67,-0.0118,925915690
2026-08-06,513180,0.617,0.618,0.609,0.61,-0.0224,2710934500
2026-08-06,513520,2.265,2.295,2.258,2.28,-0.013,358805640
